USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
1RV22CS160,4,3,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV22CS162,4,4,8,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS163,4,4,7,4,,,4,7,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS164,4,4,7,3,,,3,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS165,4,4,7,4,,,4,8,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS166,4,4,6,4,,,4,8,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS167,4,3,7,4,,,4,8,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS168,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS169,4,4,6,4,,,3,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS170,4,3,5,3,,,3,5,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS171,4,3,7,3,,,4,7,4,3,,,,,,,,,,,,,,,,,,,,
1RV22CS172,4,4,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS173,4,3,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS174,4,3,5,4,,,4,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS175,4,4,7,4,,,4,8,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS176,4,4,7,4,,,4,8,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS177,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS178,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS179,4,4,5,4,,,4,7,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV22CS241,4,4,8,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV23CS412,4,3,6,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV23CS413,3,3,6,4,,,3,5,3,3,,,,,,,,,,,,,,,,,,,,
1RV23CS414,4,4,7,4,,,4,6,4,4,,,,,,,,,,,,,,,,,,,,
1RV23CS415,4,3,7,4,,,4,5,3,4,,,,,,,,,,,,,,,,,,,,
